in s,C1 in V
-1.9705888E-02,1.17465E+01
-1.9705584E-02,1.18051E+01
-1.9705280E-02,1.17855E+01
-1.9704976E-02,1.17660E+01
-1.9704672E-02,1.18832E+01
-1.9704368E-02,1.17660E+01
-1.9704064E-02,1.18051E+01
-1.9703760E-02,1.18246E+01
-1.9703456E-02,1.17465E+01
-1.9703152E-02,1.17660E+01
-1.9702848E-02,1.17660E+01
-1.9702544E-02,1.18246E+01
-1.9702240E-02,1.17660E+01
-1.9701936E-02,1.18246E+01
-1.9701632E-02,1.17855E+01
-1.9701328E-02,1.18637E+01
-1.9701024E-02,1.17855E+01
-1.9700720E-02,1.17660E+01
-1.9700416E-02,1.17855E+01
-1.9700112E-02,1.17465E+01
-1.9699808E-02,1.17855E+01
-1.9699504E-02,1.18832E+01
-1.9699200E-02,1.18246E+01
-1.9698896E-02,1.18246E+01
-1.9698592E-02,1.17465E+01
-1.9698288E-02,1.18051E+01
-1.9697984E-02,1.18051E+01
-1.9697680E-02,1.17660E+01
-1.9697376E-02,1.17855E+01
-1.9697072E-02,1.17270E+01
-1.9696768E-02,1.18051E+01
-1.9696464E-02,1.17855E+01
-1.9696160E-02,1.18441E+01
-1.9695856E-02,1.18246E+01
-1.9695552E-02,1.17465E+01
-1.9695248E-02,1.17074E+01
-1.9694944E-02,1.18051E+01
-1.9694640E-02,1.18441E+01
-1.9694336E-02,1.18441E+01
-1.9694032E-02,1.18051E+01
-1.9693728E-02,1.18051E+01
-1.9693424E-02,1.17660E+01
-1.9693120E-02,1.18246E+01
-1.9692816E-02,1.18051E+01
-1.9692512E-02,1.17855E+01
-1.9692208E-02,1.18637E+01
-1.9691904E-02,1.17465E+01
-1.9691600E-02,1.18441E+01
-1.9691296E-02,1.18246E+01
-1.9690992E-02,1.17074E+01
-1.9690688E-02,1.17660E+01
-1.9690384E-02,1.18246E+01
-1.9690080E-02,1.18246E+01
-1.9689776E-02,1.18246E+01
-1.9689472E-02,1.17660E+01
-1.9689168E-02,1.17660E+01
-1.9688864E-02,1.18246E+01
-1.9688560E-02,1.18051E+01
-1.9688256E-02,1.17660E+01
-1.9687952E-02,1.18246E+01
-1.9687648E-02,1.17855E+01
-1.9687344E-02,1.17465E+01
-1.9687040E-02,1.18441E+01
-1.9686736E-02,1.17855E+01
-1.9686432E-02,1.17465E+01
-1.9686128E-02,1.17660E+01
-1.9685824E-02,1.17660E+01
-1.9685520E-02,1.18051E+01
-1.9685216E-02,1.17660E+01
-1.9684912E-02,1.18246E+01
-1.9684608E-02,1.17465E+01
-1.9684304E-02,1.17660E+01
-1.9684000E-02,1.18051E+01
-1.9683696E-02,1.17660E+01
-1.9683392E-02,1.17270E+01
-1.9683088E-02,1.17465E+01
-1.9682784E-02,1.18637E+01
-1.9682480E-02,1.17855E+01
-1.9682176E-02,1.17270E+01
-1.9681872E-02,1.18246E+01
-1.9681568E-02,1.17465E+01
-1.9681264E-02,1.17270E+01
-1.9680960E-02,1.18246E+01
-1.9680656E-02,1.17660E+01
-1.9680352E-02,1.17660E+01
-1.9680048E-02,1.18246E+01
-1.9679744E-02,1.18051E+01
-1.9679440E-02,1.17660E+01
-1.9679136E-02,1.17660E+01
-1.9678832E-02,1.18246E+01
-1.9678528E-02,1.18246E+01
-1.9678224E-02,1.18246E+01
-1.9677920E-02,1.18051E+01
-1.9677616E-02,1.18246E+01
-1.9677312E-02,1.18051E+01
-1.9677008E-02,1.18832E+01
-1.9676704E-02,1.17660E+01
-1.9676400E-02,1.17855E+01
-1.9676096E-02,1.17855E+01
-1.9675792E-02,1.17465E+01
-1.9675488E-02,1.17855E+01
-1.9675184E-02,1.18051E+01
-1.9674880E-02,1.18832E+01
-1.9674576E-02,1.18051E+01
-1.9674272E-02,1.17660E+01
-1.9673968E-02,1.18246E+01
-1.9673664E-02,1.17465E+01
-1.9673360E-02,1.17270E+01
-1.9673056E-02,1.17660E+01
-1.9672752E-02,1.18832E+01
-1.9672448E-02,1.18051E+01
-1.9672144E-02,1.17855E+01
-1.9671840E-02,1.18246E+01
-1.9671536E-02,1.17855E+01
-1.9671232E-02,1.17855E+01
-1.9670928E-02,1.17855E+01
-1.9670624E-02,1.17855E+01
-1.9670320E-02,1.17270E+01
-1.9670016E-02,1.17660E+01
-1.9669712E-02,1.18051E+01
-1.9669408E-02,1.17855E+01
-1.9669104E-02,1.17855E+01
-1.9668800E-02,1.18246E+01
-1.9668496E-02,1.18246E+01
-1.9668192E-02,1.17465E+01
-1.9667888E-02,1.18051E+01
-1.9667584E-02,1.17660E+01
-1.9667280E-02,1.18246E+01
-1.9666976E-02,1.18051E+01
-1.9666672E-02,1.18051E+01
-1.9666368E-02,1.18637E+01
-1.9666064E-02,1.18637E+01
-1.9665760E-02,1.18637E+01
-1.9665456E-02,1.17855E+01
-1.9665152E-02,1.18246E+01
-1.9664848E-02,1.17660E+01
-1.9664544E-02,1.18051E+01
-1.9664240E-02,1.18051E+01
-1.9663936E-02,1.17660E+01
-1.9663632E-02,1.18051E+01
-1.9663328E-02,1.18051E+01
-1.9663024E-02,1.17660E+01
-1.9662720E-02,1.18246E+01
-1.9662416E-02,1.18246E+01
-1.9662112E-02,1.17270E+01
-1.9661808E-02,1.17855E+01
-1.9661504E-02,1.17660E+01
