in s,C1 in V
-1.7328541E-02,1.193515E+01
-1.7328275E-02,1.193124E+01
-1.7328010E-02,1.192929E+01
-1.7327744E-02,1.193320E+01
-1.7327478E-02,1.193320E+01
-1.7327213E-02,1.193905E+01
-1.7326947E-02,1.193124E+01
-1.7326682E-02,1.193515E+01
-1.7326416E-02,1.193124E+01
-1.7326150E-02,1.193320E+01
-1.7325885E-02,1.193124E+01
-1.7325619E-02,1.193124E+01
-1.7325354E-02,1.193320E+01
-1.7325088E-02,1.193320E+01
-1.7324822E-02,1.193515E+01
-1.7324557E-02,1.193515E+01
-1.7324291E-02,1.193515E+01
-1.7324026E-02,1.193515E+01
-1.7323760E-02,1.193710E+01
-1.7323494E-02,1.193124E+01
-1.7323229E-02,1.193124E+01
-1.7322963E-02,1.194101E+01
-1.7322698E-02,1.193710E+01
-1.7322432E-02,1.193515E+01
-1.7322166E-02,1.193905E+01
-1.7321901E-02,1.192929E+01
-1.7321635E-02,1.193515E+01
-1.7321370E-02,1.193515E+01
-1.7321104E-02,1.192929E+01
-1.7320838E-02,1.193515E+01
-1.7320573E-02,1.193320E+01
-1.7320307E-02,1.193515E+01
-1.7320042E-02,1.193515E+01
-1.7319776E-02,1.193515E+01
-1.7319510E-02,1.193515E+01
-1.7319245E-02,1.193710E+01
-1.7318979E-02,1.193320E+01
-1.7318714E-02,1.193320E+01
-1.7318448E-02,1.193710E+01
-1.7318182E-02,1.193320E+01
-1.7317917E-02,1.193320E+01
-1.7317651E-02,1.193710E+01
-1.7317386E-02,1.193320E+01
-1.7317120E-02,1.191952E+01
-1.7316854E-02,1.193710E+01
-1.7316589E-02,1.192929E+01
-1.7316323E-02,1.193124E+01
-1.7316058E-02,1.193124E+01
-1.7315792E-02,1.193515E+01
-1.7315526E-02,1.193320E+01
-1.7315261E-02,1.193124E+01
-1.7314995E-02,1.193515E+01
-1.7314730E-02,1.193124E+01
-1.7314464E-02,1.193710E+01
-1.7314198E-02,1.193515E+01
-1.7313933E-02,1.193320E+01
-1.7313667E-02,1.193710E+01
-1.7313402E-02,1.193515E+01
-1.7313136E-02,1.193320E+01
-1.7312870E-02,1.193710E+01
-1.7312605E-02,1.193710E+01
-1.7312339E-02,1.192538E+01
-1.7312074E-02,1.193124E+01
-1.7311808E-02,1.193320E+01
-1.7311542E-02,1.193515E+01
-1.7311277E-02,1.192929E+01
-1.7311011E-02,1.193515E+01
-1.7310746E-02,1.193320E+01
-1.7310480E-02,1.192929E+01
-1.7310214E-02,1.193710E+01
-1.7309949E-02,1.193124E+01
-1.7309683E-02,1.193320E+01
-1.7309418E-02,1.193320E+01
-1.7309152E-02,1.193710E+01
-1.7308886E-02,1.194101E+01
-1.7308621E-02,1.193905E+01
-1.7308355E-02,1.193710E+01
-1.7308090E-02,1.193905E+01
-1.7307824E-02,1.193124E+01
-1.7307558E-02,1.194687E+01
-1.7307293E-02,1.192148E+01
-1.7307027E-02,1.193320E+01
-1.7306762E-02,1.193515E+01
-1.7306496E-02,1.193515E+01
-1.7306230E-02,1.193710E+01
-1.7305965E-02,1.194101E+01
-1.7305699E-02,1.193320E+01
-1.7305434E-02,1.193710E+01
-1.7305168E-02,1.193320E+01
-1.7304902E-02,1.193320E+01
-1.7304637E-02,1.193124E+01
-1.7304371E-02,1.193710E+01
-1.7304106E-02,1.193124E+01
-1.7303840E-02,1.193710E+01
-1.7303574E-02,1.193710E+01
-1.7303309E-02,1.193515E+01
-1.7303043E-02,1.193710E+01
-1.7302778E-02,1.193515E+01
-1.7302512E-02,1.193124E+01
-1.7302246E-02,1.193515E+01
-1.7301981E-02,1.193710E+01
-1.7301715E-02,1.193515E+01
-1.7301450E-02,1.192929E+01
-1.7301184E-02,1.193515E+01
-1.7300918E-02,1.193710E+01
-1.7300653E-02,1.193515E+01
-1.7300387E-02,1.192929E+01
-1.7300122E-02,1.193320E+01
-1.7299856E-02,1.193320E+01
-1.7299590E-02,1.193515E+01
-1.7299325E-02,1.193710E+01
-1.7299059E-02,1.192929E+01
-1.7298794E-02,1.193124E+01
-1.7298528E-02,1.193515E+01
-1.7298262E-02,1.193124E+01
-1.7297997E-02,1.193710E+01
-1.7297731E-02,1.192343E+01
-1.7297466E-02,1.193515E+01
-1.7297200E-02,1.193515E+01
-1.7296934E-02,1.193515E+01
-1.7296669E-02,1.193710E+01
-1.7296403E-02,1.193515E+01
-1.7296138E-02,1.193710E+01
-1.7295872E-02,1.193320E+01
-1.7295606E-02,1.193710E+01
-1.7295341E-02,1.193515E+01
-1.7295075E-02,1.193710E+01
-1.7294810E-02,1.193124E+01
-1.7294544E-02,1.194101E+01
-1.7294278E-02,1.193710E+01
-1.7294013E-02,1.193515E+01
-1.7293747E-02,1.194101E+01
-1.7293482E-02,1.193320E+01
-1.7293216E-02,1.194101E+01
-1.7292950E-02,1.192343E+01
-1.7292685E-02,1.193124E+01
-1.7292419E-02,1.193710E+01
-1.7292154E-02,1.193320E+01
-1.7291888E-02,1.193905E+01
-1.7291622E-02,1.192929E+01
-1.7291357E-02,1.193710E+01
-1.7291091E-02,1.193515E+01
-1.7290826E-02,1.193124E+01
-1.7290560E-02,1.194101E+01
-1.7290294E-02,1.193124E+01
-1.7290029E-02,1.193710E+01
-1.7289763E-02,1.193124E+01
-1.7289498E-02,1.192929E+01
-1.7289232E-02,1.193515E+01
-1.7288966E-02,1.193710E+01
-1.7288701E-02,1.193905E+01
-1.7288435E-02,1.193905E+01
-1.7288170E-02,1.195077E+01
-1.7287904E-02,1.193124E+01
-1.7287638E-02,1.193320E+01
-1.7287373E-02,1.193515E+01
-1.7287107E-02,1.193124E+01
-1.7286842E-02,1.193710E+01
-1.7286576E-02,1.193320E+01
-1.7286310E-02,1.193905E+01
-1.7286045E-02,1.193710E+01
-1.7285779E-02,1.193515E+01
-1.7285514E-02,1.193515E+01
-1.7285248E-02,1.193320E+01
-1.7284982E-02,1.193320E+01
-1.7284717E-02,1.193905E+01
-1.7284451E-02,1.193515E+01
-1.7284186E-02,1.193515E+01
-1.7283920E-02,1.193124E+01
-1.7283654E-02,1.193710E+01
-1.7283389E-02,1.193710E+01
-1.7283123E-02,1.194101E+01
-1.7282858E-02,1.193124E+01
-1.7282592E-02,1.193320E+01
-1.7282326E-02,1.192929E+01
-1.7282061E-02,1.193515E+01
-1.7281795E-02,1.193710E+01
-1.7281530E-02,1.192929E+01
-1.7281264E-02,1.193515E+01
-1.7280998E-02,1.193710E+01
-1.7280733E-02,1.193124E+01
-1.7280467E-02,1.193515E+01
-1.7280202E-02,1.193515E+01
-1.7279936E-02,1.193320E+01
-1.7279670E-02,1.193710E+01
-1.7279405E-02,1.193515E+01
-1.7279139E-02,1.193124E+01
-1.7278874E-02,1.193515E+01
-1.7278608E-02,1.193124E+01
-1.7278342E-02,1.192929E+01
-1.7278077E-02,1.193515E+01
-1.7277811E-02,1.193515E+01
-1.7277546E-02,1.193320E+01
-1.7277280E-02,1.193320E+01
-1.7277014E-02,1.193515E+01
-1.7276749E-02,1.193320E+01
-1.7276483E-02,1.193515E+01
-1.7276218E-02,1.193124E+01
-1.7275952E-02,1.193515E+01
-1.7275686E-02,1.192929E+01
-1.7275421E-02,1.192929E+01
-1.7275155E-02,1.193710E+01
-1.7274890E-02,1.193320E+01
-1.7274624E-02,1.193905E+01
-1.7274358E-02,1.193124E+01
-1.7274093E-02,1.193905E+01
-1.7273827E-02,1.194101E+01
-1.7273562E-02,1.192929E+01
-1.7273296E-02,1.192929E+01
-1.7273030E-02,1.193515E+01
-1.7272765E-02,1.193124E+01
-1.7272499E-02,1.193124E+01
-1.7272234E-02,1.193515E+01
-1.7271968E-02,1.193905E+01
-1.7271702E-02,1.193710E+01
-1.7271437E-02,1.193320E+01
-1.7271171E-02,1.193124E+01
-1.7270906E-02,1.193320E+01
-1.7270640E-02,1.193710E+01
-1.7270374E-02,1.193515E+01
-1.7270109E-02,1.192929E+01
-1.7269843E-02,1.193515E+01
-1.7269578E-02,1.193710E+01
-1.7269312E-02,1.193905E+01
-1.7269046E-02,1.193515E+01
-1.7268781E-02,1.193320E+01
-1.7268515E-02,1.194296E+01
-1.7268250E-02,1.192929E+01
-1.7267984E-02,1.193124E+01
-1.7267718E-02,1.193515E+01
-1.7267453E-02,1.193515E+01
-1.7267187E-02,1.193515E+01
-1.7266922E-02,1.193710E+01
-1.7266656E-02,1.193320E+01
-1.7266390E-02,1.193710E+01
-1.7266125E-02,1.193515E+01
